geral_modalidade;autoria_classificacao;total;total_sucesso;particip;taxa_sucesso;valor_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso
aon;coletivo;11;10,0;0,027707808564231738;0,9090909090909091;238041,78578039797;23804,1785780398;23862,0493994705;3195,103231871044;79109,40336433673
aon;empresa;10;4,0;0,02518891687657431;0,4;92722,34514580693;23180,586286451733;5347,763954993766;16826,600894094277;27906,863156505395
aon;feminino;58;41,0;0,14609571788413098;0,7068965517241379;790544,478813116;19281,572653978437;13378,906631337768;3146,9104321241043;58501,28819761207
aon;masculino;316;183,0;0,7959697732997482;0,5791139240506329;3525920,4655758487;19267,324948501904;14801,85839044332;2858,7956967881883;90252,06210555576
aon;outros;2;1,0;0,005037783375314861;0,5;413,39080640350926;413,39080640350926;0,0;413,39080640350926;413,39080640350926
flex;coletivo;1;1,0;0,02857142857142857;1,0;79806,28598672585;79806,28598672585;0,0;79806,28598672585;79806,28598672585
flex;empresa;1;1,0;0,02857142857142857;1,0;7281,65397464512;7281,65397464512;0,0;7281,65397464512;7281,65397464512
flex;feminino;3;3,0;0,08571428571428572;1,0;4139,033742735078;1379,677914245026;1361,8028296341195;25,11261544573431;2748,604681140139
flex;masculino;30;22,0;0,8571428571428571;0,7333333333333333;108678,64493830477;4939,93840628658;7258,197870446339;134,53758075179687;31252,147669907437
sub;coletivo;9;2,0;0,2727272727272727;0,2222222222222222;65,8657239087487;32,93286195437435;3,956578403616091;30,13513853488117;35,730585373867534
sub;feminino;5;1,0;0,15151515151515152;0,2;5,056727578330388;5,056727578330388;0,0;5,056727578330388;5,056727578330388
sub;masculino;12;2,0;0,36363636363636365;0,16666666666666666;230,4770431061574;115,2385215530787;63,30228989150709;70,4770431061574;160,0
sub;outros;7;0,0;0,21212121212121213;0,0;0,0;0,0;0,0;0,0;0,0
