menção;total;aon;aon_sucesso;aon_falha;aon_particip;aon_taxa_sucesso;aon_valor_sucesso;aon_media_sucesso;aon_std_sucesso;aon_min_sucesso;aon_max_sucesso;flex;flex_sucesso;flex_falha;flex_particip;flex_taxa_sucesso;flex_valor_sucesso;flex_media_sucesso;flex_std_sucesso;flex_min_sucesso;flex_max_sucesso;sub;sub_sucesso;sub_falha;sub_particip;sub_taxa_sucesso;sub_valor_sucesso;sub_media_sucesso;sub_std_sucesso;sub_min_sucesso;sub_max_sucesso
angelo_agostini;173;67,0;61,0;6,0;0,050187265917602995;0,9104477611940298;3045252,806306844;49922,17715257122;101183,46893741391;2944,086470789134;679297,6600721752;104,0;104,0;0,0;0,07084468664850137;1,0;2320567,946086433;22313,15332775416;59701,58775725395;458,9251020152481;442290,11135608936;2,0;2,0;0,0;0,0029239766081871343;1,0;1906,1137174045073;953,0568587022536;1131,8076645512501;152,7479840991555;1753,3657333053518
ccxp;337;156,0;126,0;30,0;0,11685393258426967;0,8076923076923077;2860818,4385969862;22704,908242833226;20582,18081328499;1720,6592753700209;154365,9837040891;175,0;175,0;0,0;0,11920980926430517;1,0;2409594,2024732213;13769,109728418407;21333,700825493444;313,2716886535385;121747,79849108716;6,0;5,0;1,0;0,008771929824561403;0,8333333333333334;2037,9887794877284;407,59775589754565;752,9936319265861;40,66419228170764;1753,3657333053518
disputa;1030;400,0;245,0;155,0;0,299625468164794;0,6125;6532941,879185004;26665,06889463267;27722,17615151563;787,1021772339901;163173,27026974404;568,0;546,0;22,0;0,3869209809264305;0,9612676056338029;7688166,013623439;14080,890134841464;20311,273161591555;11,933436257746523;133707,58987810803;62,0;22,0;40,0;0,09064327485380116;0,3548387096774194;8971,61544582792;407,8007020830873;1065,3954541706025;1,0873969624101234;5087,076865717208
erotismo;353;123,0;82,0;41,0;0,09213483146067415;0,6666666666666666;2306077,7278193873;28122,899119748625;23954,888052828785;1990,9450708267;125535,7448333134;207,0;204,0;3,0;0,14100817438692098;0,9855072463768116;3236637,6158398706;15865,87066588172;25100,55603426701;45,243304493083926;200069,5140664897;23,0;5,0;18,0;0,033625730994152045;0,21739130434782608;6149,198283664386;1229,839656732877;2169,930045219226;6,627188424929332;5087,076865717208
fantasia;646;279,0;180,0;99,0;0,20898876404494382;0,6451612903225806;4816835,598395908;26760,197768866157;30295,08564925056;94,898114598278;264585,9073482947;326,0;318,0;8,0;0,2220708446866485;0,9754601226993865;5740597,022146388;18052,1918935421;45474,46746319437;43,14189436787808;708972,7845446636;41,0;16,0;25,0;0,059941520467836254;0,3902439024390244;1963,342203649789;122,70888772811182;134,9786244833396;5,2782440282253775;538,4389998789497
ficcao_cientifica;719;296,0;179,0;117,0;0,22172284644194756;0,6047297297297297;5401646,146659081;30176,79411541386;46623,43714083682;54,53892516702949;537544,5528256212;352,0;338,0;14,0;0,23978201634877383;0,9602272727272727;5288513,608068768;15646,489964700497;42686,00050640347;10,771639144290464;708972,7845446636;71,0;17,0;54,0;0,10380116959064327;0,23943661971830985;2039,4536668403684;119,96786275531579;157,26457514831185;2,0220843066000507;538,4389998789497
fiq;403;219,0;162,0;57,0;0,16404494382022472;0,7397260273972602;4821257,849740589;29760,850924324623;38181,97911034847;1405,425637867093;396557,4961875453;147,0;142,0;5,0;0,10013623978201634;0,9659863945578231;2717366,9970106073;19136,387302891602;63151,49512725792;39,62898446130542;708972,7845446636;37,0;11,0;26,0;0,054093567251461985;0,2972972972972973;3924,480503521683;356,77095486560756;489,3711670821388;10,981621647967827;1753,3657333053518
folclore;515;200,0;140,0;60,0;0,149812734082397;0,7;4507319,894909304;32195,142106495026;45455,39030881756;1081,4725700867623;396557,4961875453;291,0;285,0;6,0;0,19822888283378748;0,979381443298969;5086973,708613019;17849,03055653691;48299,82963154622;55,43454979817118;708972,7845446636;24,0;11,0;13,0;0,03508771929824561;0,4583333333333333;2115,2831998043894;192,29847270948994;337,595798278262;6,098311514417047;1135,983432845721
herois;674;276,0;157,0;119,0;0,20674157303370785;0,5688405797101449;3474485,4132646313;22130,480339265167;25554,864632531364;989,6825900594964;161153,62810717168;354,0;343,0;11,0;0,24114441416893734;0,9689265536723164;5497521,583966777;16027,759720019758;26716,10249657132;11,933436257746523;203551,22371661584;44,0;11,0;33,0;0,06432748538011696;0,25;7278,776925880444;661,7069932618585;1479,3975837194987;10,981621647967827;5087,076865717208
hqmix;295;122,0;108,0;14,0;0,09138576779026217;0,8852459016393442;3759007,866591265;34805,628394363564;76815,19294381328;787,1021772339901;679297,6600721752;168,0;168,0;0,0;0,11444141689373297;1,0;2754078,5008618515;16393,324409891975;47599,92946885034;105,56771048386253;442290,11135608936;5,0;3,0;2,0;0,007309941520467836;0,6;2060,799511978374;686,933170659458;931,6109153745095;31,487229919022084;1753,3657333053518
