menção;total;total_aon;taxa_sucesso_aon;particip_aon;total_flex;taxa_sucesso_flex;particip_flex;total_sub;taxa_sucesso_sub;particip_sub
angelo_agostini;52;29,0;0,8275862068965517;0,03368176538908246;22,0;1,0;0,05250596658711217;1,0;1,0;0,0029940119760479044
ccxp;181;107,0;0,7570093457943925;0,12427409988385599;72,0;1,0;0,1718377088305489;2,0;0,5;0,005988023952095809
disputa;411;246,0;0,5772357723577236;0,2857142857142857;140,0;0,8785714285714286;0,3341288782816229;25,0;0,2;0,0748502994011976
erotismo;147;85,0;0,6705882352941176;0,09872241579558652;49,0;0,9387755102040817;0,11694510739856802;13,0;0,0;0,038922155688622756
fantasia;239;152,0;0,631578947368421;0,1765389082462253;68,0;0,9117647058823529;0,162291169451074;19,0;0,21052631578947367;0,05688622754491018
ficcao_cientifica;329;193,0;0,5803108808290155;0,22415795586527293;102,0;0,8725490196078431;0,24343675417661098;34,0;0,14705882352941177;0,10179640718562874
fiq;227;156,0;0,75;0,18118466898954705;53,0;0,9245283018867925;0,12649164677804295;18,0;0,05555555555555555;0,05389221556886228
folclore;200;115,0;0,7304347826086957;0,13356562137049943;73,0;0,9452054794520548;0,17422434367541767;12,0;0,16666666666666666;0,03592814371257485
herois;275;171,0;0,543859649122807;0,1986062717770035;85,0;0,8823529411764706;0,20286396181384247;19,0;0,15789473684210525;0,05688622754491018
hqmix;95;57,0;0,8596491228070176;0,06620209059233449;36,0;1,0;0,08591885441527446;2,0;1,0;0,005988023952095809
humor;274;184,0;0,6793478260869565;0,21370499419279906;63,0;0,9523809523809523;0,15035799522673032;27,0;0,18518518518518517;0,08083832335329341
jogos;290;167,0;0,6766467065868264;0,19396051103368175;92,0;0,9565217391304348;0,21957040572792363;31,0;0,22580645161290322;0,09281437125748503
lgbtqiamais;85;46,0;0,5869565217391305;0,053426248548199766;31,0;0,967741935483871;0,07398568019093078;8,0;0,375;0,023952095808383235
midia_independente;159;87,0;0,6091954022988506;0,10104529616724739;27,0;0,8888888888888888;0,06443914081145585;45,0;0,13333333333333333;0,1347305389221557
politica;245;139,0;0,60431654676259;0,16144018583042974;76,0;0,9210526315789473;0,18138424821002386;30,0;0,23333333333333334;0,08982035928143713
questoes_genero;36;20,0;0,5;0,023228803716608595;12,0;0,9166666666666666;0,028639618138424822;4,0;0,5;0,011976047904191617
religiosidade;338;214,0;0,5607476635514018;0,24854819976771197;100,0;0,93;0,2386634844868735;24,0;0,20833333333333334;0,0718562874251497
saloes_humor;13;12,0;0,75;0,013937282229965157;1,0;1,0;0,002386634844868735;0,0;0,0;0,0
terror;504;301,0;0,627906976744186;0,34959349593495936;177,0;0,9491525423728814;0,4224343675417661;26,0;0,23076923076923078;0,07784431137724551
webformatos;104;70,0;0,7571428571428571;0,08130081300813008;25,0;1,0;0,059665871121718374;9,0;0,3333333333333333;0,02694610778443114
zine;175;104,0;0,6634615384615384;0,1207897793263647;59,0;0,9830508474576272;0,14081145584725538;12,0;0,16666666666666666;0,03592814371257485
