menção;total;aon;aon_sucesso;aon_falha;flex;flex_sucesso;flex_falha;sub;sub_sucesso;sub_falha
angelo_agostini;173;67,0;61,0;6,0;104,0;104,0;0,0;2,0;2,0;0,0
ccxp;337;156,0;126,0;30,0;175,0;175,0;0,0;6,0;5,0;1,0
disputa;1030;400,0;245,0;155,0;568,0;546,0;22,0;62,0;22,0;40,0
erotismo;353;123,0;82,0;41,0;207,0;204,0;3,0;23,0;5,0;18,0
fantasia;646;279,0;180,0;99,0;326,0;318,0;8,0;41,0;16,0;25,0
ficcao_cientifica;719;296,0;179,0;117,0;352,0;338,0;14,0;71,0;17,0;54,0
fiq;403;219,0;162,0;57,0;147,0;142,0;5,0;37,0;11,0;26,0
folclore;515;200,0;140,0;60,0;291,0;285,0;6,0;24,0;11,0;13,0
herois;674;276,0;157,0;119,0;354,0;343,0;11,0;44,0;11,0;33,0
hqmix;295;122,0;108,0;14,0;168,0;168,0;0,0;5,0;3,0;2,0
humor;602;271,0;197,0;74,0;277,0;273,0;4,0;54,0;21,0;33,0
jogos;666;284,0;201,0;83,0;321,0;315,0;6,0;61,0;17,0;44,0
lgbtqiamais;232;82,0;58,0;24,0;135,0;134,0;1,0;15,0;3,0;12,0
midia_independente;322;140,0;97,0;43,0;105,0;100,0;5,0;77,0;18,0;59,0
politica;663;240,0;154,0;86,0;359,0;351,0;8,0;64,0;24,0;40,0
questoes_genero;108;35,0;24,0;11,0;66,0;65,0;1,0;7,0;2,0;5,0
religiosidade;850;360,0;211,0;149,0;436,0;423,0;13,0;54,0;18,0;36,0
saloes_humor;31;16,0;12,0;4,0;14,0;14,0;0,0;1,0;0,0;1,0
terror;1251;496,0;327,0;169,0;684,0;673,0;11,0;71,0;26,0;45,0
webformatos;259;119,0;89,0;30,0;105,0;103,0;2,0;35,0;17,0;18,0
zine;404;164,0;112,0;52,0;212,0;211,0;1,0;28,0;9,0;19,0
