autoria_nome_publico;total;aon;aon_sucesso;aon_falha;flex;flex_sucesso;flex_falha;sub;sub_sucesso;sub_falha
"""sou da casa"" - blog casadaptada";1;0,0;0,0;0,0;0,0;0,0;0,0;77,77024424069651;77,77024424069651;0,0
#alice;1;0,0;0,0;0,0;0,0;0,0;0,0;46,93421399055738;46,93421399055738;0,0
(samba);1;33779,540742710225;33779,540742710225;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1 real a hora;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
101 games brasil;1;23808,59746848201;23808,59746848201;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4nju;1;0,0;0,0;0,0;5124,5160995869255;5124,5160995869255;0,0;0,0;0,0;0,0
99 balões;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
@flavio_frm;1;63636,97998881487;63636,97998881487;0,0;0,0;0,0;0,0;0,0;0,0;0,0
@larrysahart;1;0,0;0,0;0,0;3748,455917331474;3748,455917331474;0,0;0,0;0,0;0,0
@majoryyokomizo;4;5302,935791763696;5302,935791763696;0,0;9893,755215713081;9893,755215713081;0,0;0,0;0,0;0,0
a caverna do shinzankuro;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
a educação move o mundo. apoie-nos!;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
a jornada pelos muitos mundos;1;0,0;0,0;0,0;0,0;0,0;0,0;196,32062451616443;196,32062451616443;0,0
a lenda dos cinco mundos;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
a maldição de boa fortuna;1;44390,62169156785;44390,62169156785;0,0;0,0;0,0;0,0;0,0;0,0;0,0
a margem é o centro;1;0,0;0,0;0,0;0,0;0,0;0,0;386,0451750221723;386,0451750221723;0,0
a menina e a criatura;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
a trash mess quer dominar o mundo;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
a vila da criatividade;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
a voz que vêm do terraço;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
abiogênese;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
acir gomes;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
acreanosama's artbook 🦖;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
adam;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
adao de lima jr artes;1;0,0;0,0;0,0;0,0;0,0;0,0;6,098311514417047;6,098311514417047;0,0
ademar vieira;3;0,0;0,0;0,0;44215,156927065196;44215,156927065196;0,0;0,0;0,0;0,0
adler daré;3;20855,86139131294;19269,417970932125;1586,443420380816;0,0;0,0;0,0;0,0;0,0;0,0
adote uma artista;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
adri a.;6;31666,145520686354;25148,486274410876;6517,659246275478;42087,4863607609;42087,4863607609;0,0;0,0;0,0;0,0
adriano de melo kitani;1;12215,708185864298;12215,708185864298;0,0;0,0;0,0;0,0;0,0;0,0;0,0
adriano ferreira da silva;3;0,0;0,0;0,0;59564,73824437092;59564,73824437092;0,0;0,0;0,0;0,0
adriano ferrera;5;4992,172347909954;4992,172347909954;0,0;13385,535244366902;13385,535244366902;0,0;0,0;0,0;0,0
adriano gon;3;1261,3297697826445;0,0;1261,3297697826445;880,0596054956596;880,0596054956596;0,0;0,0;0,0;0,0
adriano loyola;2;0,0;0,0;0,0;22388,33028023917;22388,33028023917;0,0;0,0;0,0;0,0
adriel e vinicius em mortos não falam;1;0,0;0,0;0,0;254,24437497733064;254,24437497733064;0,0;0,0;0,0;0,0
afronerd;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
after life;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
aguinaldo lazarini e yuri andrey;1;505,5656396879396;0,0;505,5656396879396;0,0;0,0;0,0;0,0;0,0;0,0
ailton de frança/ imáx animation;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ailton teodoro;1;161,07582535212794;0,0;161,07582535212794;0,0;0,0;0,0;0,0;0,0;0,0
airton marinho;1;2377,622487437186;0,0;2377,622487437186;0,0;0,0;0,0;0,0;0,0;0,0
aj alves;1;0,0;0,0;0,0;11,933436257746523;11,933436257746523;0,0;0,0;0,0;0,0
ajudando o chunan!;1;0,0;0,0;0,0;0,0;0,0;0,0;37,27723939925197;37,27723939925197;0,0
