autoria_nome_publico;total;aon;aon_sucesso;aon_falha;flex;flex_sucesso;flex_falha;sub;sub_sucesso;sub_falha
"""sou da casa"" - blog casadaptada";1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
#alice;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
(samba);1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
1 real a hora;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
101 games brasil;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4nju;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
99 balões;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
@flavio_frm;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
@larrysahart;1;0,0;0,0;0,0;1,0;1,0;0,0;0,0;0,0;0,0
@majoryyokomizo;4;1,0;1,0;0,0;2,0;2,0;0,0;1,0;0,0;1,0
a caverna do shinzankuro;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
a educação move o mundo. apoie-nos!;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
a jornada pelos muitos mundos;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
a lenda dos cinco mundos;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
a maldição de boa fortuna;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
a margem é o centro;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
a menina e a criatura;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
a trash mess quer dominar o mundo;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
a vila da criatividade;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
a voz que vêm do terraço;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
abiogênese;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
acir gomes;2;0,0;0,0;0,0;1,0;0,0;1,0;1,0;0,0;1,0
acreanosama's artbook 🦖;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
adam;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
adao de lima jr artes;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;1,0;0,0
ademar vieira;3;0,0;0,0;0,0;3,0;3,0;0,0;0,0;0,0;0,0
adler daré;3;3,0;2,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
adote uma artista;1;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0
adri a.;6;3,0;2,0;1,0;3,0;3,0;0,0;0,0;0,0;0,0
adriano de melo kitani;1;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
adriano ferreira da silva;3;0,0;0,0;0,0;3,0;3,0;0,0;0,0;0,0;0,0
adriano ferrera;5;1,0;1,0;0,0;4,0;4,0;0,0;0,0;0,0;0,0
adriano gon;3;2,0;0,0;2,0;1,0;1,0;0,0;0,0;0,0;0,0
adriano loyola;2;0,0;0,0;0,0;2,0;2,0;0,0;0,0;0,0;0,0
