geral_uf_br;total;aon;aon_sucesso;aon_falha;flex;flex_sucesso;flex_falha;sub;sub_sucesso;sub_falha
AC;1;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
AL;18;7,0;5,0;2,0;6,0;5,0;1,0;5,0;0,0;5,0
AM;31;14,0;4,0;10,0;4,0;3,0;1,0;13,0;1,0;12,0
AP;2;0,0;0,0;0,0;0,0;0,0;0,0;2,0;1,0;1,0
BA;69;19,0;7,0;12,0;25,0;21,0;4,0;25,0;4,0;21,0
CE;85;21,0;9,0;12,0;38,0;37,0;1,0;26,0;8,0;18,0
DF;80;40,0;23,0;17,0;30,0;29,0;1,0;10,0;5,0;5,0
ES;29;11,0;4,0;7,0;6,0;3,0;3,0;12,0;5,0;7,0
GO;26;14,0;10,0;4,0;6,0;5,0;1,0;6,0;1,0;5,0
MA;18;3,0;1,0;2,0;4,0;4,0;0,0;11,0;2,0;9,0
MG;248;115,0;67,0;48,0;71,0;67,0;4,0;62,0;10,0;52,0
MS;8;2,0;1,0;1,0;6,0;5,0;1,0;0,0;0,0;0,0
MT;5;2,0;2,0;0,0;2,0;2,0;0,0;1,0;0,0;1,0
PA;34;12,0;4,0;8,0;6,0;5,0;1,0;16,0;4,0;12,0
PB;57;20,0;10,0;10,0;26,0;25,0;1,0;11,0;1,0;10,0
PE;124;41,0;24,0;17,0;60,0;58,0;2,0;23,0;6,0;17,0
PI;37;20,0;13,0;7,0;10,0;6,0;4,0;7,0;0,0;7,0
PR;187;81,0;48,0;33,0;64,0;59,0;5,0;42,0;12,0;30,0
RJ;401;152,0;94,0;58,0;163,0;150,0;13,0;86,0;22,0;64,0
RN;33;20,0;11,0;9,0;6,0;3,0;3,0;7,0;0,0;7,0
RO;7;1,0;0,0;1,0;4,0;4,0;0,0;2,0;0,0;2,0
RS;299;102,0;67,0;35,0;142,0;141,0;1,0;55,0;14,0;41,0
SC;61;26,0;14,0;12,0;21,0;18,0;3,0;14,0;2,0;12,0
SE;13;1,0;0,0;1,0;2,0;1,0;1,0;10,0;1,0;9,0
SP;1604;609,0;412,0;197,0;766,0;732,0;34,0;229,0;53,0;176,0
TO;2;1,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;1,0
XX;8;0,0;0,0;0,0;0,0;0,0;0,0;8,0;0,0;8,0
