geral_modalidade;geral_uf_br;total
aon;AC;1
aon;AL;7
aon;AM;14
aon;BA;19
aon;CE;21
aon;DF;40
aon;ES;11
aon;GO;14
aon;MA;3
aon;MG;115
aon;MS;2
aon;MT;2
aon;PA;12
aon;PB;20
aon;PE;41
aon;PI;20
aon;PR;81
aon;RJ;152
aon;RN;20
aon;RO;1
aon;RS;102
aon;SC;26
aon;SE;1
aon;SP;609
aon;TO;1
flex;AL;6
flex;AM;4
flex;BA;25
flex;CE;38
flex;DF;30
flex;ES;6
flex;GO;6
flex;MA;4
flex;MG;71
flex;MS;6
flex;MT;2
flex;PA;6
flex;PB;26
flex;PE;60
flex;PI;10
flex;PR;64
flex;RJ;163
flex;RN;6
flex;RO;4
flex;RS;142
flex;SC;21
flex;SE;2
flex;SP;766
sub;AL;5
sub;AM;13
sub;AP;2
sub;BA;25
sub;CE;26
sub;DF;10
sub;ES;12
sub;GO;6
sub;MA;11
sub;MG;62
sub;MT;1
sub;PA;16
sub;PB;11
sub;PE;23
sub;PI;7
sub;PR;42
sub;RJ;86
sub;RN;7
sub;RO;2
sub;RS;55
sub;SC;14
sub;SE;10
sub;SP;229
sub;TO;1
sub;XX;8
