geral_modalidade;geral_uf_br;total;total_sucesso;particip;taxa_sucesso;arrecadado_sucesso;media_sucesso;std_sucesso;min_sucesso;max_sucesso;apoio_medio;contribuicoes;media_contribuicoes
aon;AC;1;0;0,0749063670411985;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0,0
aon;AL;7;5;0,5243445692883896;71,42857142857143;55859,2613776098;11171,85227552196;3760,9161471023394;6855,800343179311;15562,692552702536;72,63883144032484;769;153,8
aon;AM;14;4;1,0486891385767791;28,57142857142857;34236,008448110726;8559,002112027682;4714,557407418181;3774,4218846939934;12904,8841260866;69,16365343052672;495;123,75
aon;BA;19;7;1,4232209737827715;36,84210526315789;102481,83012358328;14640,261446226183;8108,092667296107;4203,660877121528;28456,51246193833;95,50962732859578;1073;153,28571428571428
aon;CE;21;9;1,5730337078651686;42,857142857142854;115503,47499651453;12833,71944405717;13733,425494971616;1334,3888257971591;41422,60130243778;71,38657292738846;1618;179,77777777777777
aon;DF;40;23;2,9962546816479403;57,49999999999999;511121,6114159022;22222,67875721314;16473,469382183826;41,81688448509265;75796,32738733107;92,98191948624745;5497;239,0
aon;ES;11;4;0,8239700374531835;36,36363636363637;72846,5544442175;18211,638611054375;17231,5614090988;1411,8635959528283;39851,596996037166;112,24430576921033;649;162,25
aon;GO;14;10;1,0486891385767791;71,42857142857143;107857,96595947372;10785,796595947371;7069,017817675312;787,1021772339901;25867,992281579267;55,856015515004515;1931;193,1
aon;MA;3;1;0,22471910112359553;33,33333333333333;1952,9502904433896;1952,9502904433896;0,0;1952,9502904433896;1952,9502904433896;52,78244028225377;37;37,0
aon;MG;115;67;8,614232209737828;58,26086956521739;1822099,4223834844;27195,513766917677;26573,24720137915;1204,0837184066245;136747,59853902034;84,51296022186848;21560;321,7910447761194
aon;MS;2;1;0,149812734082397;50,0;38755,99586972115;38755,99586972115;0,0;38755,99586972115;38755,99586972115;71,24263946639917;544;544,0
aon;MT;2;2;0,149812734082397;100,0;16235,649159870269;8117,824579935134;3144,464677335824;5894,352283389404;10341,296876480865;67,93158644297183;239;119,5
aon;PA;12;4;0,8988764044943821;33,33333333333333;122971,38397855117;30742,84599463779;3871,0979488551;25693,41314791135;34218,597920706874;72,42130976357548;1698;424,5
aon;PB;20;10;1,4981273408239701;50,0;291702,8936576058;29170,289365760582;16041,930837493886;9446,9456231599;56551,79581211559;74,91086123718691;3894;389,4
